config_id,config_name,baseline_success_rate,hybrid_success_rate,baseline_time,hybrid_time,baseline_bytes,hybrid_bytes,sessions,duration,generator.preferred_digit,generator.force_semantic,strategist.threshold,strategist.human_interval,synthetic_human.lifetime
57,sessions=2__duration=60__generator.preferred_digit=null__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=60,2.0,2.0,0.0017513632774353027,0.0010325908660888672,335.5,205.5,2,60,null,True,1,1,60
58,sessions=2__duration=60__generator.preferred_digit=null__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=10,2.0,2.0,0.0007008910179138184,0.0008869767189025879,185.5,149.5,2,60,null,True,1,5,10
59,sessions=2__duration=60__generator.preferred_digit=null__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=60,2.0,2.0,0.0006797909736633301,0.003625929355621338,138.0,772.0,2,60,null,True,1,5,60
60,sessions=2__duration=60__generator.preferred_digit=null__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=10,1.0,1.0,0.1994718313217163,0.002373218536376953,92956.5,1517.5,2,60,null,True,2,1,10
61,sessions=2__duration=60__generator.preferred_digit=null__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=60,1.0,1.0,0.5814545154571533,0.0018954277038574219,239368.5,1158.5,2,60,null,True,2,1,60
62,sessions=2__duration=60__generator.preferred_digit=null__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=10,1.0,1.0,0.312630295753479,0.0034579038619995117,127677.0,902.5,2,60,null,True,2,5,10
63,sessions=2__duration=60__generator.preferred_digit=null__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=60,1.0,1.0,0.19747090339660645,0.003968238830566406,81038.0,946.0,2,60,null,True,2,5,60
64,sessions=2__duration=60__generator.preferred_digit=0__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=10,2.0,2.0,0.021829545497894287,0.023299694061279297,5224.0,4822.0,2,60,0,False,1,1,10
65,sessions=2__duration=60__generator.preferred_digit=0__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=60,2.0,2.0,0.0035578012466430664,0.021877050399780273,2003.5,4781.0,2,60,0,False,1,1,60
66,sessions=2__duration=60__generator.preferred_digit=0__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=10,2.0,2.0,0.01071387529373169,0.02118551731109619,2698.0,6695.0,2,60,0,False,1,5,10
67,sessions=2__duration=60__generator.preferred_digit=0__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=60,2.0,2.0,0.008924484252929688,0.039395809173583984,3161.0,8926.5,2,60,0,False,1,5,60
68,sessions=2__duration=60__generator.preferred_digit=0__generator.force_semantic=False__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=10,0.0,1.0,,0.07717239856719971,38126416.5,13062.5,2,60,0,False,2,1,10
69,sessions=2__duration=60__generator.preferred_digit=0__generator.force_semantic=False__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=60,0.5,1.0,20.19568395614624,0.08934342861175537,23250918.0,51401.5,2,60,0,False,2,1,60
70,sessions=2__duration=60__generator.preferred_digit=0__generator.force_semantic=False__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=10,0.0,1.0,,0.019861340522766113,25365169.0,12176.5,2,60,0,False,2,5,10
71,sessions=2__duration=60__generator.preferred_digit=0__generator.force_semantic=False__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=60,0.5,1.0,49.117156744003296,0.01697099208831787,30525845.0,10198.5,2,60,0,False,2,5,60
72,sessions=2__duration=60__generator.preferred_digit=0__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=10,2.0,2.0,0.008852124214172363,0.001862943172454834,206.0,335.0,2,60,0,True,1,1,10
73,sessions=2__duration=60__generator.preferred_digit=0__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=60,2.0,2.0,0.0007531046867370605,0.001017153263092041,206.0,164.5,2,60,0,True,1,1,60
74,sessions=2__duration=60__generator.preferred_digit=0__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=10,2.0,2.0,0.018443584442138672,0.0021598339080810547,212.5,388.0,2,60,0,True,1,5,10
75,sessions=2__duration=60__generator.preferred_digit=0__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=60,2.0,2.0,0.001015007495880127,0.001066744327545166,192.5,149.5,2,60,0,True,1,5,60
76,sessions=2__duration=60__generator.preferred_digit=0__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=10,1.0,1.0,0.5941237211227417,0.0016956329345703125,236513.5,1219.0,2,60,0,True,2,1,10
77,sessions=2__duration=60__generator.preferred_digit=0__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=60,1.0,1.0,0.385784387588501,0.00336301326751709,146168.5,1288.0,2,60,0,True,2,1,60
78,sessions=2__duration=60__generator.preferred_digit=0__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=10,1.0,1.0,0.21972966194152832,0.002817869186401367,94106.5,752.5,2,60,0,True,2,5,10
79,sessions=2__duration=60__generator.preferred_digit=0__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=60,1.0,1.0,0.20558428764343262,0.00279998779296875,113781.5,743.0,2,60,0,True,2,5,60
80,sessions=2__duration=60__generator.preferred_digit=7__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=10,2.0,2.0,0.021845698356628418,0.025877714157104492,6470.0,6190.5,2,60,7,False,1,1,10
81,sessions=2__duration=60__generator.preferred_digit=7__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=60,2.0,2.0,0.031707763671875,0.0077323317527771,9350.5,1751.0,2,60,7,False,1,1,60
82,sessions=2__duration=60__generator.preferred_digit=7__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=10,2.0,2.0,0.024614393711090088,0.03494173288345337,7280.5,8599.5,2,60,7,False,1,5,10
83,sessions=2__duration=60__generator.preferred_digit=7__generator.force_semantic=False__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=60,2.0,2.0,0.04065293073654175,0.03466898202896118,11924.5,5120.0,2,60,7,False,1,5,60
84,sessions=2__duration=60__generator.preferred_digit=7__generator.force_semantic=False__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=10,1.0,1.0,35.28093922138214,0.2508885860443115,21442910.0,92268.0,2,60,7,False,2,1,10
85,sessions=2__duration=60__generator.preferred_digit=7__generator.force_semantic=False__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=60,0.0,1.0,,0.03212106227874756,37684831.0,25946.0,2,60,7,False,2,1,60
86,sessions=2__duration=60__generator.preferred_digit=7__generator.force_semantic=False__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=10,0.0,1.0,,0.029952049255371094,27803579.0,19786.5,2,60,7,False,2,5,10
87,sessions=2__duration=60__generator.preferred_digit=7__generator.force_semantic=False__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=60,0.0,1.0,,0.06068086624145508,36331140.5,40423.0,2,60,7,False,2,5,60
88,sessions=2__duration=60__generator.preferred_digit=7__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=10,2.0,2.0,0.0010117888450622559,0.0012198090553283691,267.5,226.0,2,60,7,True,1,1,10
89,sessions=2__duration=60__generator.preferred_digit=7__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=1__synthetic_human.lifetime=60,2.0,2.0,0.011833488941192627,0.0022643208503723145,144.5,410.0,2,60,7,True,1,1,60
90,sessions=2__duration=60__generator.preferred_digit=7__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=10,2.0,2.0,0.0016140341758728027,0.0009310245513916016,363.0,163.5,2,60,7,True,1,5,10
91,sessions=2__duration=60__generator.preferred_digit=7__generator.force_semantic=True__strategist.threshold=1__strategist.human_interval=5__synthetic_human.lifetime=60,2.0,2.0,0.001468658447265625,0.0012320280075073242,294.5,178.5,2,60,7,True,1,5,60
92,sessions=2__duration=60__generator.preferred_digit=7__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=10,1.0,1.0,0.8034600019454956,0.005011439323425293,387627.0,2164.5,2,60,7,True,2,1,10
93,sessions=2__duration=60__generator.preferred_digit=7__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=1__synthetic_human.lifetime=60,1.0,1.0,0.2832655906677246,0.004855990409851074,122586.0,1551.0,2,60,7,True,2,1,60
94,sessions=2__duration=60__generator.preferred_digit=7__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=10,1.0,1.0,0.35396361351013184,0.002310633659362793,184978.0,1095.5,2,60,7,True,2,5,10
95,sessions=2__duration=60__generator.preferred_digit=7__generator.force_semantic=True__strategist.threshold=2__strategist.human_interval=5__synthetic_human.lifetime=60,1.0,1.0,0.20210134983062744,0.010577559471130371,122227.5,2330.5,2,60,7,True,2,5,60
